Legend:

1-P =,Untitled 1 Process
1-A =,Untitled 1 Ambient
2-P =,Untitled 2 Process
2-A =,Untitled 2 Ambient


Interval:,10,Seconds
DataPoint,LogDate,LogTime,1-P °C,1-A °C,2-P °C,2-A °C
2277,27/05/2019,20:21:10,30.5,16.5,28.9,17.5
2278,27/05/2019,20:21:20,30.5,16.5,28.9,17.5
2279,27/05/2019,20:21:30,30.4,16.5,28.9,17.5
2280,27/05/2019,20:21:40,30.4,16.5,28.9,17.5
2281,27/05/2019,20:21:50,30.4,16.5,29.0,17.5
2282,27/05/2019,20:22:00,30.4,16.5,28.9,17.5
2283,27/05/2019,20:22:10,30.4,16.5,28.9,17.5
2284,27/05/2019,20:22:20,30.4,16.5,28.9,17.5
2285,27/05/2019,20:22:30,30.4,16.5,28.9,17.5
2286,27/05/2019,20:22:40,30.5,16.5,28.9,17.5
2287,27/05/2019,20:22:50,30.5,16.5,28.9,17.5
2288,27/05/2019,20:23:00,30.5,16.5,28.9,17.5
2289,27/05/2019,20:23:10,30.5,16.5,28.9,17.5
2290,27/05/2019,20:23:20,30.5,16.5,28.9,17.5
2291,27/05/2019,20:23:30,30.4,16.5,28.9,17.5
2292,27/05/2019,20:23:40,30.4,16.5,28.9,17.5
2293,27/05/2019,20:23:50,30.4,16.5,28.9,17.6
2294,27/05/2019,20:24:00,30.4,16.5,28.9,17.6
2295,27/05/2019,20:24:10,30.4,16.5,28.9,17.6
2296,27/05/2019,20:24:20,30.4,16.5,28.9,17.6
2297,27/05/2019,20:24:30,30.4,16.5,28.9,17.6
2298,27/05/2019,20:24:40,30.4,16.5,28.8,17.6
2299,27/05/2019,20:24:50,30.4,16.5,28.8,17.6
2300,27/05/2019,20:25:00,30.4,16.5,28.8,17.6
2301,27/05/2019,20:25:10,30.4,16.5,28.8,17.6
2302,27/05/2019,20:25:20,30.4,16.5,28.8,17.6
2303,27/05/2019,20:25:30,30.4,16.5,28.8,17.6
2304,27/05/2019,20:25:40,30.4,16.5,28.8,17.6
2305,27/05/2019,20:25:50,30.4,16.5,28.8,17.6
2306,27/05/2019,20:26:00,30.4,16.5,28.8,17.6
2307,27/05/2019,20:26:10,30.4,16.5,28.8,17.6
2308,27/05/2019,20:26:20,30.4,16.5,28.8,17.6
2309,27/05/2019,20:26:30,30.3,16.5,28.8,17.6
2310,27/05/2019,20:26:40,30.3,16.5,28.8,17.6
2311,27/05/2019,20:26:50,30.3,16.5,28.8,17.6
2312,27/05/2019,20:27:00,30.3,16.5,28.8,17.6
2313,27/05/2019,20:27:10,30.3,16.5,28.8,17.6
2314,27/05/2019,20:27:20,30.3,16.5,28.8,17.5
2315,27/05/2019,20:27:30,30.3,16.5,28.8,17.5
2316,27/05/2019,20:27:40,30.3,16.5,28.8,17.6
2317,27/05/2019,20:27:50,30.3,16.5,28.8,17.5
2318,27/05/2019,20:28:00,30.3,16.5,28.8,17.5
2319,27/05/2019,20:28:10,30.3,16.5,28.8,17.5
2320,27/05/2019,20:28:20,30.3,16.5,28.8,17.6
2321,27/05/2019,20:28:30,30.3,16.5,28.8,17.6
2322,27/05/2019,20:28:40,30.3,16.5,28.8,17.6
2323,27/05/2019,20:28:50,30.3,16.5,28.8,17.5
2324,27/05/2019,20:29:00,30.3,16.5,28.7,17.5
2325,27/05/2019,20:29:10,30.3,16.5,28.7,17.5
2326,27/05/2019,20:29:20,30.3,16.5,28.8,17.5
2327,27/05/2019,20:29:30,30.3,16.5,28.7,17.5
2328,27/05/2019,20:29:40,30.3,16.5,28.7,17.5
2329,27/05/2019,20:29:50,30.3,16.5,28.7,17.5
2330,27/05/2019,20:30:00,30.3,16.5,28.7,17.5
2331,27/05/2019,20:30:10,30.3,16.5,28.7,17.5
2332,27/05/2019,20:30:20,30.3,16.5,28.7,17.5
2333,27/05/2019,20:30:30,30.3,16.5,28.7,17.5
2334,27/05/2019,20:30:40,30.3,16.5,28.7,17.5
2335,27/05/2019,20:30:50,30.3,16.5,28.7,17.5
2336,27/05/2019,20:31:00,30.3,16.5,28.7,17.5
2337,27/05/2019,20:31:10,30.3,16.5,28.7,17.5
2338,27/05/2019,20:31:20,30.3,16.5,28.7,17.5
2339,27/05/2019,20:31:30,30.3,16.5,28.7,17.5
2340,27/05/2019,20:31:40,30.3,16.5,28.7,17.5
2341,27/05/2019,20:31:50,30.3,16.5,28.7,17.5
2342,27/05/2019,20:32:00,30.2,16.5,28.7,17.5
2343,27/05/2019,20:32:10,30.2,16.5,28.7,17.5
2344,27/05/2019,20:32:20,30.2,16.5,28.7,17.5
2345,27/05/2019,20:32:30,30.2,16.5,28.7,17.5
2346,27/05/2019,20:32:40,30.2,16.5,28.7,17.5
2347,27/05/2019,20:32:50,30.3,16.5,28.7,17.5
2348,27/05/2019,20:33:00,30.2,16.5,28.7,17.5
2349,27/05/2019,20:33:10,30.2,16.5,28.7,17.5
2350,27/05/2019,20:33:20,30.2,16.5,28.7,17.5
2351,27/05/2019,20:33:30,30.2,16.5,28.7,17.5
2352,27/05/2019,20:33:40,30.2,16.5,28.7,17.5
2353,27/05/2019,20:33:50,30.2,16.5,28.7,17.5
2354,27/05/2019,20:34:00,30.1,16.5,28.7,17.5
2355,27/05/2019,20:34:10,30.2,16.5,28.7,17.5
2356,27/05/2019,20:34:20,30.2,16.6,28.7,17.5
2357,27/05/2019,20:34:30,30.2,16.6,28.7,17.5
2358,27/05/2019,20:34:40,30.1,16.6,28.7,17.5
2359,27/05/2019,20:34:50,30.1,16.6,28.7,17.5
2360,27/05/2019,20:35:00,30.2,16.6,28.6,17.5
2361,27/05/2019,20:35:10,30.1,16.6,28.6,17.5
2362,27/05/2019,20:35:20,30.1,16.6,28.6,17.5
2363,27/05/2019,20:35:30,30.1,16.5,28.6,17.5
2364,27/05/2019,20:35:40,30.1,16.5,28.6,17.5
2365,27/05/2019,20:35:50,30.1,16.5,28.6,17.5
2366,27/05/2019,20:36:00,30.1,16.5,28.6,17.5
2367,27/05/2019,20:36:10,30.1,16.5,28.6,17.5
2368,27/05/2019,20:36:20,30.1,16.5,28.6,17.5
2369,27/05/2019,20:36:30,30.1,16.5,28.6,17.5
2370,27/05/2019,20:36:40,30.1,16.5,28.6,17.5
2371,27/05/2019,20:36:50,30.1,16.5,28.6,17.5
2372,27/05/2019,20:37:00,30.1,16.5,28.6,17.5
2373,27/05/2019,20:37:10,30.1,16.5,28.6,17.5
2374,27/05/2019,20:37:20,30.1,16.5,28.6,17.5
2375,27/05/2019,20:37:30,30.1,16.5,28.6,17.5
2376,27/05/2019,20:37:40,30.0,16.5,28.6,17.5
2377,27/05/2019,20:37:50,30.0,16.5,28.6,17.5
2378,27/05/2019,20:38:00,30.0,16.5,28.6,17.5
2379,27/05/2019,20:38:10,30.1,16.5,28.6,17.5
2380,27/05/2019,20:38:20,30.1,16.5,28.6,17.5
2381,27/05/2019,20:38:30,30.1,16.5,28.6,17.5
2382,27/05/2019,20:38:40,30.1,16.5,28.6,17.5
2383,27/05/2019,20:38:50,30.1,16.5,28.6,17.5
2384,27/05/2019,20:39:00,30.1,16.5,28.6,17.5
2385,27/05/2019,20:39:10,30.1,16.5,28.6,17.5
2386,27/05/2019,20:39:20,30.1,16.5,28.6,17.5
2387,27/05/2019,20:39:30,30.0,16.5,28.6,17.5
2388,27/05/2019,20:39:40,30.0,16.5,28.6,17.5
2389,27/05/2019,20:39:50,30.0,16.5,28.6,17.5
2390,27/05/2019,20:40:00,30.0,16.5,28.6,17.5
2391,27/05/2019,20:40:10,30.0,16.5,28.6,17.5
2392,27/05/2019,20:40:20,30.0,16.5,28.5,17.5
2393,27/05/2019,20:40:30,30.0,16.5,28.5,17.5
2394,27/05/2019,20:40:40,30.0,16.5,28.5,17.5
2395,27/05/2019,20:40:50,30.0,16.5,28.5,17.5
2396,27/05/2019,20:41:00,30.0,16.5,28.5,17.5
2397,27/05/2019,20:41:10,30.0,16.5,28.5,17.5
2398,27/05/2019,20:41:20,30.0,16.5,28.5,17.5
2399,27/05/2019,20:41:30,30.0,16.5,28.5,17.5
2400,27/05/2019,20:41:40,30.0,16.5,28.5,17.5
2401,27/05/2019,20:41:50,30.0,16.5,28.5,17.5
2402,27/05/2019,20:42:00,30.0,16.5,28.5,17.5
2403,27/05/2019,20:42:10,29.9,16.5,28.5,17.5
2404,27/05/2019,20:42:20,29.9,16.5,28.5,17.5
2405,27/05/2019,20:42:30,29.9,16.5,28.5,17.5
2406,27/05/2019,20:42:40,29.9,16.5,28.5,17.5
2407,27/05/2019,20:42:50,29.9,16.5,28.5,17.5
2408,27/05/2019,20:43:00,29.9,16.5,28.5,17.5
2409,27/05/2019,20:43:10,29.9,16.5,28.5,17.5
2410,27/05/2019,20:43:20,29.9,16.5,28.5,17.5
2411,27/05/2019,20:43:30,29.9,16.5,28.5,17.5
2412,27/05/2019,20:43:40,29.9,16.5,28.5,17.5
2413,27/05/2019,20:43:50,29.9,16.5,28.5,17.5
2414,27/05/2019,20:44:00,29.9,16.5,28.5,17.5
2415,27/05/2019,20:44:10,29.9,16.5,28.5,17.5
2416,27/05/2019,20:44:20,29.9,16.5,28.5,17.5
2417,27/05/2019,20:44:30,30.0,16.5,28.5,17.5
2418,27/05/2019,20:44:40,29.9,16.5,28.5,17.5
2419,27/05/2019,20:44:50,29.9,16.5,28.5,17.5
2420,27/05/2019,20:45:00,29.9,16.5,28.5,17.5
2421,27/05/2019,20:45:10,29.9,16.5,28.4,17.5
2422,27/05/2019,20:45:20,29.9,16.5,28.4,17.5
2423,27/05/2019,20:45:30,29.9,16.5,28.4,17.5
2424,27/05/2019,20:45:40,29.9,16.5,28.4,17.5
2425,27/05/2019,20:45:50,29.9,16.5,28.5,17.5
2426,27/05/2019,20:46:00,29.9,16.5,28.4,17.5
2427,27/05/2019,20:46:10,29.9,16.5,28.4,17.5
2428,27/05/2019,20:46:20,29.9,16.5,28.4,17.5
2429,27/05/2019,20:46:30,29.9,16.5,28.4,17.5
2430,27/05/2019,20:46:40,29.9,16.5,28.4,17.5
2431,27/05/2019,20:46:50,29.9,16.5,28.4,17.5
2432,27/05/2019,20:47:00,29.8,16.5,28.4,17.5
2433,27/05/2019,20:47:10,29.9,16.5,28.4,17.5
2434,27/05/2019,20:47:20,29.8,16.5,28.4,17.5
2435,27/05/2019,20:47:30,29.8,16.5,28.4,17.5
2436,27/05/2019,20:47:40,29.8,16.5,28.4,17.5
2437,27/05/2019,20:47:50,29.8,16.5,28.4,17.5
2438,27/05/2019,20:48:00,29.8,16.5,28.3,17.4
2439,27/05/2019,20:48:10,29.8,16.5,28.3,17.4
2440,27/05/2019,20:48:20,29.8,16.5,28.3,17.4
2441,27/05/2019,20:48:30,29.8,16.5,28.3,17.4
2442,27/05/2019,20:48:40,29.8,16.5,28.3,17.4
2443,27/05/2019,20:48:50,29.8,16.5,28.3,17.4
2444,27/05/2019,20:49:00,29.9,16.5,28.3,17.4
2445,27/05/2019,20:49:10,29.8,16.5,28.3,17.4
2446,27/05/2019,20:49:20,29.8,16.5,28.3,17.4
2447,27/05/2019,20:49:30,29.8,16.5,28.3,17.4
2448,27/05/2019,20:49:40,29.8,16.5,28.3,17.4
2449,27/05/2019,20:49:50,29.8,16.5,28.3,17.4
2450,27/05/2019,20:50:00,29.8,16.5,28.3,17.4
2451,27/05/2019,20:50:10,29.7,16.5,28.3,17.4
2452,27/05/2019,20:50:20,29.7,16.5,28.3,17.4
2453,27/05/2019,20:50:30,29.7,16.5,28.3,17.4
2454,27/05/2019,20:50:40,29.8,16.5,28.3,17.4
2455,27/05/2019,20:50:50,29.8,16.5,28.3,17.4
2456,27/05/2019,20:51:00,29.8,16.5,28.3,17.4
2457,27/05/2019,20:51:10,29.8,16.5,28.3,17.4
2458,27/05/2019,20:51:20,29.8,16.5,28.3,17.4
2459,27/05/2019,20:51:30,29.8,16.5,28.3,17.4
2460,27/05/2019,20:51:40,29.8,16.5,28.3,17.4
2461,27/05/2019,20:51:50,29.8,16.5,28.3,17.4
2462,27/05/2019,20:52:00,29.7,16.5,28.3,17.4
2463,27/05/2019,20:52:10,29.7,16.5,28.3,17.4
2464,27/05/2019,20:52:20,29.7,16.5,28.3,17.4
2465,27/05/2019,20:52:30,29.7,16.5,28.3,17.4
2466,27/05/2019,20:52:40,29.7,16.5,28.3,17.4
2467,27/05/2019,20:52:50,29.7,16.5,28.3,17.4
2468,27/05/2019,20:53:00,29.7,16.5,28.3,17.4
2469,27/05/2019,20:53:10,29.7,16.5,28.3,17.4
2470,27/05/2019,20:53:20,29.7,16.5,28.3,17.4
2471,27/05/2019,20:53:30,29.7,16.5,28.2,17.4
2472,27/05/2019,20:53:40,29.7,16.5,28.3,17.4
2473,27/05/2019,20:53:50,29.7,16.5,28.3,17.4
2474,27/05/2019,20:54:00,29.7,16.5,28.3,17.4
2475,27/05/2019,20:54:10,29.7,16.5,28.3,17.4
2476,27/05/2019,20:54:20,29.7,16.5,28.3,17.4
2477,27/05/2019,20:54:30,29.7,16.5,28.3,17.4
2478,27/05/2019,20:54:40,29.7,16.5,28.3,17.4
2479,27/05/2019,20:54:50,29.7,16.5,28.3,17.4
2480,27/05/2019,20:55:00,29.7,16.5,28.3,17.4
2481,27/05/2019,20:55:10,29.7,16.5,28.3,17.4
2482,27/05/2019,20:55:20,29.7,16.5,28.3,17.4
2483,27/05/2019,20:55:30,29.7,16.5,28.3,17.4
2484,27/05/2019,20:55:40,29.7,16.5,28.3,17.4
2485,27/05/2019,20:55:50,29.7,16.5,28.2,17.4
2486,27/05/2019,20:56:00,29.6,16.5,28.2,17.4
2487,27/05/2019,20:56:10,29.6,16.5,28.2,17.4
2488,27/05/2019,20:56:20,29.6,16.5,28.2,17.4
2489,27/05/2019,20:56:30,29.6,16.5,28.2,17.4
2490,27/05/2019,20:56:40,29.6,16.5,28.2,17.4
2491,27/05/2019,20:56:50,29.6,16.5,28.2,17.4
2492,27/05/2019,20:57:00,29.6,16.5,28.2,17.4
2493,27/05/2019,20:57:10,29.6,16.6,28.2,17.4
2494,27/05/2019,20:57:20,29.6,16.6,28.2,17.4
2495,27/05/2019,20:57:30,29.6,16.6,28.2,17.4
2496,27/05/2019,20:57:40,29.6,16.6,28.2,17.4
2497,27/05/2019,20:57:50,29.6,16.6,28.2,17.4
2498,27/05/2019,20:58:00,29.6,16.6,28.2,17.4
2499,27/05/2019,20:58:10,29.6,16.6,28.2,17.4
2500,27/05/2019,20:58:20,29.6,16.6,28.2,17.4
2501,27/05/2019,20:58:30,29.6,16.6,28.2,17.4
2502,27/05/2019,20:58:40,29.6,16.6,28.1,17.4
2503,27/05/2019,20:58:50,29.5,16.6,28.1,17.4
2504,27/05/2019,20:59:00,29.5,16.6,28.1,17.4
2505,27/05/2019,20:59:10,29.5,16.6,28.1,17.4
2506,27/05/2019,20:59:20,29.5,16.6,28.2,17.5
2507,27/05/2019,20:59:30,29.5,16.6,28.2,17.5
2508,27/05/2019,20:59:40,29.5,16.6,28.2,17.5
2509,27/05/2019,20:59:50,29.5,16.6,28.2,17.5
2510,27/05/2019,21:00:00,29.5,16.6,28.2,17.5
2511,27/05/2019,21:00:10,29.5,16.6,28.2,17.5
2512,27/05/2019,21:00:20,29.5,16.6,28.2,17.5
2513,27/05/2019,21:00:30,29.5,16.6,28.2,17.5
2514,27/05/2019,21:00:40,29.5,16.6,28.2,17.5
2515,27/05/2019,21:00:50,29.5,16.6,28.2,17.5
2516,27/05/2019,21:01:00,29.5,16.6,28.1,17.5
2517,27/05/2019,21:01:10,29.5,16.6,28.1,17.5
2518,27/05/2019,21:01:20,29.5,16.6,28.1,17.5
2519,27/05/2019,21:01:30,29.5,16.5,28.1,17.5
2520,27/05/2019,21:01:40,29.5,16.5,28.1,17.5
2521,27/05/2019,21:01:50,29.5,16.5,28.1,17.5
2522,27/05/2019,21:02:00,29.5,16.6,28.1,17.5
2523,27/05/2019,21:02:10,29.5,16.6,28.1,17.5
2524,27/05/2019,21:02:20,29.5,16.6,28.1,17.5
2525,27/05/2019,21:02:30,29.5,16.6,28.1,17.5
2526,27/05/2019,21:02:40,29.5,16.6,28.1,17.5
2527,27/05/2019,21:02:50,29.4,16.6,28.1,17.5
2528,27/05/2019,21:03:00,29.4,16.6,28.1,17.5
2529,27/05/2019,21:03:10,29.4,16.6,28.1,17.5
2530,27/05/2019,21:03:20,29.4,16.6,28.1,17.5
2531,27/05/2019,21:03:30,29.4,16.6,28.1,17.5
2532,27/05/2019,21:03:40,29.4,16.6,28.1,17.5
2533,27/05/2019,21:03:50,29.4,16.6,28.1,17.5
2534,27/05/2019,21:04:00,29.4,16.6,28.1,17.5
2535,27/05/2019,21:04:10,29.4,16.6,28.0,17.5
2536,27/05/2019,21:04:20,29.4,16.6,28.1,17.5
2537,27/05/2019,21:04:30,29.4,16.6,28.1,17.5
2538,27/05/2019,21:04:40,29.4,16.6,28.1,17.5
2539,27/05/2019,21:04:50,29.4,16.6,28.1,17.5
2540,27/05/2019,21:05:00,29.4,16.6,28.1,17.5
2541,27/05/2019,21:05:10,29.4,16.6,28.1,17.5
2542,27/05/2019,21:05:20,29.4,16.6,28.1,17.5
2543,27/05/2019,21:05:30,29.4,16.6,28.1,17.5
2544,27/05/2019,21:05:40,29.4,16.6,28.1,17.5
2545,27/05/2019,21:05:50,29.4,16.6,28.1,17.5
2546,27/05/2019,21:06:00,29.4,16.6,28.0,17.5
2547,27/05/2019,21:06:10,29.4,16.6,28.0,17.5
2548,27/05/2019,21:06:20,29.4,16.6,28.1,17.5
2549,27/05/2019,21:06:30,29.4,16.6,28.0,17.5
2550,27/05/2019,21:06:40,29.4,16.5,28.0,17.5
2551,27/05/2019,21:06:50,29.4,16.5,28.1,17.5
2552,27/05/2019,21:07:00,29.3,16.5,28.0,17.5
2553,27/05/2019,21:07:10,29.3,16.5,28.0,17.5
2554,27/05/2019,21:07:20,29.3,16.5,28.0,17.5
2555,27/05/2019,21:07:30,29.3,16.5,28.0,17.5
2556,27/05/2019,21:07:40,29.3,16.5,28.0,17.5
2557,27/05/2019,21:07:50,29.3,16.5,28.0,17.4
2558,27/05/2019,21:08:00,29.3,16.5,28.0,17.4
2559,27/05/2019,21:08:10,29.3,16.5,27.9,17.4
2560,27/05/2019,21:08:20,29.3,16.5,27.9,17.4
2561,27/05/2019,21:08:30,29.4,16.5,27.9,17.4
2562,27/05/2019,21:08:40,29.4,16.5,27.9,17.4
2563,27/05/2019,21:08:50,29.4,16.5,27.9,17.4
2564,27/05/2019,21:09:00,29.4,16.5,27.9,17.4
2565,27/05/2019,21:09:10,29.4,16.5,27.9,17.4
2566,27/05/2019,21:09:20,29.4,16.5,27.9,17.4
2567,27/05/2019,21:09:30,29.3,16.5,27.9,17.4
2568,27/05/2019,21:09:40,29.3,16.5,27.9,17.4
2569,27/05/2019,21:09:50,29.3,16.5,27.9,17.4
2570,27/05/2019,21:10:00,29.3,16.5,27.9,17.4
2571,27/05/2019,21:10:10,29.3,16.5,27.9,17.4
2572,27/05/2019,21:10:20,29.3,16.5,27.9,17.4
2573,27/05/2019,21:10:30,29.3,16.5,27.9,17.4
2574,27/05/2019,21:10:40,29.3,16.5,27.9,17.4
2575,27/05/2019,21:10:50,29.3,16.5,27.9,17.4
2576,27/05/2019,21:11:00,29.3,16.5,27.9,17.4
2577,27/05/2019,21:11:10,29.3,16.5,27.9,17.4
2578,27/05/2019,21:11:20,29.3,16.5,27.9,17.4
2579,27/05/2019,21:11:30,29.3,16.5,27.9,17.4
2580,27/05/2019,21:11:40,29.3,16.5,27.9,17.4
2581,27/05/2019,21:11:50,29.3,16.5,27.9,17.4
2582,27/05/2019,21:12:00,29.3,16.5,27.9,17.4
2583,27/05/2019,21:12:10,29.3,16.5,27.9,17.4
2584,27/05/2019,21:12:20,29.3,16.5,27.9,17.4
2585,27/05/2019,21:12:30,29.3,16.5,27.9,17.4
2586,27/05/2019,21:12:40,29.3,16.5,27.9,17.4
2587,27/05/2019,21:12:50,29.3,16.5,27.9,17.4
2588,27/05/2019,21:13:00,29.3,16.5,27.9,17.4
2589,27/05/2019,21:13:10,29.3,16.5,27.9,17.4
2590,27/05/2019,21:13:20,29.3,16.5,27.9,17.4
2591,27/05/2019,21:13:30,29.3,16.5,27.8,17.4
2592,27/05/2019,21:13:40,29.3,16.5,27.8,17.4
2593,27/05/2019,21:13:50,29.3,16.5,27.8,17.4
2594,27/05/2019,21:14:00,29.3,16.5,27.8,17.4
2595,27/05/2019,21:14:10,29.2,16.5,27.8,17.4
2596,27/05/2019,21:14:20,29.2,16.5,27.8,17.4
2597,27/05/2019,21:14:30,29.2,16.5,27.8,17.4
2598,27/05/2019,21:14:40,29.2,16.5,27.8,17.4
2599,27/05/2019,21:14:50,29.2,16.5,27.8,17.5
2600,27/05/2019,21:15:00,29.2,16.5,27.9,17.5
2601,27/05/2019,21:15:10,29.3,16.5,27.9,17.5
2602,27/05/2019,21:15:20,29.2,16.5,27.9,17.5
2603,27/05/2019,21:15:30,29.2,16.5,27.9,17.5
2604,27/05/2019,21:15:40,29.2,16.5,27.8,17.5
2605,27/05/2019,21:15:50,29.2,16.5,27.8,17.5
2606,27/05/2019,21:16:00,29.2,16.5,27.9,17.5
2607,27/05/2019,21:16:10,29.2,16.5,27.8,17.5
2608,27/05/2019,21:16:20,29.1,16.5,27.8,17.5
2609,27/05/2019,21:16:30,29.2,16.5,27.8,17.5
2610,27/05/2019,21:16:40,29.1,16.5,27.8,17.5
2611,27/05/2019,21:16:50,29.1,16.5,27.8,17.5
2612,27/05/2019,21:17:00,29.1,16.5,27.8,17.5
2613,27/05/2019,21:17:10,29.1,16.5,27.8,17.5
2614,27/05/2019,21:17:20,29.1,16.5,27.8,17.5
2615,27/05/2019,21:17:30,29.1,16.5,27.8,17.5
2616,27/05/2019,21:17:40,29.1,16.5,27.8,17.5
2617,27/05/2019,21:17:50,29.1,16.5,27.8,17.5
2618,27/05/2019,21:18:00,29.1,16.5,27.8,17.5
2619,27/05/2019,21:18:10,29.1,16.5,27.8,17.5
2620,27/05/2019,21:18:20,29.1,16.5,27.8,17.5
2621,27/05/2019,21:18:30,29.1,16.5,27.8,17.5
2622,27/05/2019,21:18:40,29.1,16.5,27.8,17.5
2623,27/05/2019,21:18:50,29.1,16.5,27.8,17.5
2624,27/05/2019,21:19:00,29.1,16.5,27.8,17.5
2625,27/05/2019,21:19:10,29.1,16.5,27.8,17.5
2626,27/05/2019,21:19:20,29.1,16.5,27.8,17.5
2627,27/05/2019,21:19:30,29.1,16.5,27.8,17.5
2628,27/05/2019,21:19:40,29.1,16.5,27.8,17.5
2629,27/05/2019,21:19:50,29.1,16.5,27.8,17.5
2630,27/05/2019,21:20:00,29.1,16.5,27.8,17.5
2631,27/05/2019,21:20:10,29.1,16.5,27.8,17.5
2632,27/05/2019,21:20:20,29.1,16.5,27.8,17.5
2633,27/05/2019,21:20:30,29.1,16.5,27.8,17.5
2634,27/05/2019,21:20:40,29.1,16.5,27.8,17.5
2635,27/05/2019,21:20:50,29.1,16.5,27.8,17.5
2636,27/05/2019,21:21:00,29.1,16.5,27.8,17.5
2637,27/05/2019,21:21:10,29.1,16.5,27.8,17.5
2638,27/05/2019,21:21:20,29.1,16.5,27.8,17.5
2639,27/05/2019,21:21:30,29.1,16.5,27.8,17.5
2640,27/05/2019,21:21:40,29.1,16.5,27.8,17.5
2641,27/05/2019,21:21:50,29.1,16.5,27.8,17.5
2642,27/05/2019,21:22:00,29.1,16.5,27.8,17.5
2643,27/05/2019,21:22:10,29.1,16.5,27.8,17.5
2644,27/05/2019,21:22:20,29.1,16.5,27.7,17.5
2645,27/05/2019,21:22:30,29.0,16.5,27.7,17.5
2646,27/05/2019,21:22:40,29.0,16.5,27.7,17.5
2647,27/05/2019,21:22:50,29.0,16.5,27.7,17.5
2648,27/05/2019,21:23:00,29.0,16.5,27.7,17.5
2649,27/05/2019,21:23:10,29.0,16.5,27.7,17.5
2650,27/05/2019,21:23:20,29.0,16.5,27.7,17.5
2651,27/05/2019,21:23:30,29.0,16.5,27.7,17.5
2652,27/05/2019,21:23:40,29.0,16.6,27.7,17.5
2653,27/05/2019,21:23:50,29.0,16.6,27.7,17.5
2654,27/05/2019,21:24:00,29.0,16.6,27.7,17.5
2655,27/05/2019,21:24:10,29.0,16.6,27.7,17.5
2656,27/05/2019,21:24:20,28.9,16.6,27.6,17.5
2657,27/05/2019,21:24:30,28.9,16.6,27.6,17.5
2658,27/05/2019,21:24:40,28.9,16.6,27.6,17.5
2659,27/05/2019,21:24:50,28.9,16.6,27.6,17.5
2660,27/05/2019,21:25:00,28.9,16.6,27.6,17.5
2661,27/05/2019,21:25:10,28.9,16.6,27.6,17.5
2662,27/05/2019,21:25:20,28.9,16.6,27.6,17.5
2663,27/05/2019,21:25:30,28.9,16.6,27.6,17.5
2664,27/05/2019,21:25:40,28.9,16.6,27.6,17.5
2665,27/05/2019,21:25:50,28.9,16.6,27.6,17.5
2666,27/05/2019,21:26:00,28.9,16.5,27.6,17.5
2667,27/05/2019,21:26:10,28.9,16.5,27.6,17.5
2668,27/05/2019,21:26:20,28.9,16.5,27.6,17.5
2669,27/05/2019,21:26:30,28.9,16.5,27.6,17.5
2670,27/05/2019,21:26:40,28.9,16.5,27.6,17.5
2671,27/05/2019,21:26:50,28.9,16.5,27.6,17.5
2672,27/05/2019,21:27:00,28.9,16.5,27.6,17.5
2673,27/05/2019,21:27:10,28.9,16.5,27.6,17.5
2674,27/05/2019,21:27:20,28.9,16.5,27.6,17.5
2675,27/05/2019,21:27:30,28.9,16.5,27.6,17.5
2676,27/05/2019,21:27:40,28.9,16.5,27.6,17.5
2677,27/05/2019,21:27:50,28.8,16.5,27.6,17.5
2678,27/05/2019,21:28:00,28.9,16.5,27.6,17.5
2679,27/05/2019,21:28:10,28.8,16.5,27.6,17.5
2680,27/05/2019,21:28:20,28.8,16.5,27.6,17.5
2681,27/05/2019,21:28:30,28.8,16.5,27.6,17.5
2682,27/05/2019,21:28:40,28.9,16.5,27.7,17.5
2683,27/05/2019,21:28:50,28.8,16.5,27.6,17.5
2684,27/05/2019,21:29:00,28.8,16.5,27.7,17.5
2685,27/05/2019,21:29:10,28.8,16.5,27.7,17.5
2686,27/05/2019,21:29:20,28.8,16.5,27.7,17.5
2687,27/05/2019,21:29:30,28.8,16.5,27.6,17.5
2688,27/05/2019,21:29:40,28.9,16.5,27.6,17.4
2689,27/05/2019,21:29:50,28.9,16.5,27.6,17.4
2690,27/05/2019,21:30:00,28.9,16.5,27.6,17.4
2691,27/05/2019,21:30:10,28.9,16.5,27.6,17.4
2692,27/05/2019,21:30:20,28.8,16.5,27.5,17.4
2693,27/05/2019,21:30:30,28.8,16.5,27.5,17.4
2694,27/05/2019,21:30:40,28.8,16.5,27.5,17.4
2695,27/05/2019,21:30:50,28.8,16.5,27.5,17.4
2696,27/05/2019,21:31:00,28.8,16.5,27.5,17.4
2697,27/05/2019,21:31:10,28.8,16.5,27.5,17.4
2698,27/05/2019,21:31:20,28.8,16.5,27.5,17.4
2699,27/05/2019,21:31:30,28.8,16.5,27.5,17.4
2700,27/05/2019,21:31:40,28.8,16.5,27.5,17.4
2701,27/05/2019,21:31:50,28.8,16.5,27.5,17.4
2702,27/05/2019,21:32:00,28.8,16.5,27.5,17.4
2703,27/05/2019,21:32:10,28.8,16.5,27.5,17.4
2704,27/05/2019,21:32:20,28.8,16.5,27.5,17.4
2705,27/05/2019,21:32:30,28.8,16.5,27.5,17.4
2706,27/05/2019,21:32:40,28.8,16.5,27.5,17.4
2707,27/05/2019,21:32:50,28.8,16.5,27.5,17.4
2708,27/05/2019,21:33:00,28.8,16.5,27.5,17.4
2709,27/05/2019,21:33:10,28.8,16.5,27.5,17.4
